iter	Passed	Remaining
0	159	159734
1	172	86180
2	186	62124
3	198	49520
4	211	42066
5	224	37120
6	236	33578
7	249	30889
8	262	28936
9	277	27450
10	291	26213
11	305	25115
12	321	24426
13	339	23933
14	357	23507
15	378	23273
16	403	23338
17	423	23077
18	444	22929
19	463	22715
20	485	22634
21	504	22427
22	522	22180
23	538	21916
24	556	21695
25	573	21489
26	590	21285
27	607	21090
28	623	20873
29	639	20663
30	656	20527
31	673	20361
32	690	20231
33	706	20084
34	723	19936
35	737	19761
36	753	19600
37	767	19440
38	782	19285
39	797	19132
40	812	18995
41	827	18867
42	842	18753
43	858	18661
44	873	18529
45	886	18382
46	900	18267
47	916	18184
48	932	18102
49	950	18068
50	971	18086
51	996	18167
52	1025	18316
53	1048	18366
54	1075	18476
55	1095	18470
56	1115	18446
57	1135	18436
58	1152	18388
59	1171	18350
60	1189	18303
61	1206	18255
62	1223	18191
63	1239	18123
64	1255	18064
65	1273	18016
66	1288	17949
67	1304	17877
68	1320	17813
69	1335	17742
70	1350	17669
71	1364	17592
72	1377	17498
73	1392	17422
74	1406	17348
75	1422	17289
76	1435	17212
77	1449	17139
78	1464	17078
79	1477	16992
80	1491	16916
81	1505	16854
82	1519	16792
83	1534	16737
84	1549	16675
85	1567	16660
86	1584	16630
87	1602	16604
88	1623	16621
89	1647	16655
90	1665	16640
91	1683	16611
92	1701	16590
93	1718	16563
94	1736	16542
95	1753	16514
96	1769	16476
97	1786	16443
98	1808	16456
99	1829	16466
100	1852	16490
101	1874	16506
102	1897	16524
103	1918	16529
104	1943	16564
105	1964	16566
106	1989	16605
107	2012	16617
108	2037	16658
109	2062	16691
110	2080	16664
111	2098	16637
112	2116	16611
113	2141	16646
114	2163	16651
115	2180	16619
116	2198	16595
117	2214	16555
118	2230	16512
119	2249	16493
120	2287	16619
121	2312	16641
122	2338	16675
123	2360	16673
124	2384	16690
125	2405	16683
126	2422	16651
127	2440	16625
128	2457	16595
129	2475	16568
130	2496	16559
131	2518	16564
132	2538	16549
133	2557	16529
134	2577	16517
135	2597	16499
136	2617	16490
137	2645	16523
138	2671	16546
139	2695	16558
140	2717	16554
141	2741	16566
142	2765	16572
143	2783	16545
144	2801	16517
145	2819	16494
146	2843	16500
147	2863	16485
148	2883	16469
149	2912	16504
150	2938	16524
151	2970	16572
152	3000	16608
153	3022	16604
154	3041	16583
155	3061	16561
156	3080	16541
157	3099	16518
158	3119	16502
159	3142	16496
160	3163	16483
161	3180	16449
162	3196	16413
163	3212	16378
164	3228	16338
165	3242	16292
166	3256	16244
167	3271	16203
168	3287	16166
169	3302	16122
170	3317	16080
171	3331	16035
172	3345	15993
173	3359	15947
174	3374	15909
175	3392	15881
176	3413	15873
177	3428	15832
178	3442	15790
179	3460	15762
180	3477	15736
181	3495	15710
182	3513	15684
183	3532	15667
184	3554	15657
185	3570	15626
186	3587	15596
187	3603	15564
188	3622	15544
189	3641	15522
190	3659	15498
191	3677	15478
192	3693	15443
193	3708	15406
194	3722	15369
195	3737	15329
196	3751	15290
197	3764	15248
198	3777	15205
199	3790	15161
200	3804	15123
201	3819	15088
202	3833	15049
203	3845	15006
204	3858	14963
205	3871	14921
206	3884	14879
207	3897	14840
208	3909	14797
209	3922	14757
210	3936	14718
211	3949	14681
212	3962	14642
213	3975	14602
214	3987	14558
215	4000	14520
216	4013	14483
217	4026	14445
218	4040	14408
219	4052	14367
220	4065	14330
221	4080	14299
222	4094	14265
223	4109	14234
224	4123	14204
225	4139	14175
226	4153	14145
227	4167	14111
228	4196	14129
229	4217	14119
230	4239	14113
231	4259	14100
232	4277	14080
233	4294	14058
234	4312	14037
235	4328	14011
236	4344	13985
237	4358	13953
238	4375	13932
239	4394	13916
240	4415	13907
241	4438	13902
242	4456	13883
243	4478	13876
244	4503	13877
245	4528	13880
246	4553	13880
247	4572	13864
248	4593	13855
249	4615	13847
250	4645	13863
251	4683	13901
252	4717	13929
253	4750	13951
254	4785	13979
255	4815	13995
256	4846	14010
257	4873	14014
258	4895	14005
259	4918	13998
260	4941	13990
261	4962	13978
262	4981	13960
263	5001	13943
264	5023	13933
265	5045	13921
266	5067	13910
